Activity_Group,count,mean,std,min,25%,50%,75%,max
Low (0-2 days),4644.0,24.118220118115364,5.3942294824558985,13.208279744715965,20.40484429065744,22.757785467128027,26.492783808640258,54.65536127226257
Moderate (3-4 days),2789.0,23.905165698435212,5.053129817053869,14.230690745842262,20.40484429065744,22.655567117585846,26.32506887052342,53.84070294784581
High (5-7 days),5461.0,23.4541791807207,4.560732995864936,13.299382716049385,20.44135802469136,22.433361099541862,25.26989619377163,53.776958109074485
